"BestMatchID"	"File_Name"	"BestMatchScore"	"OrigMetaID"	"Cluster"	"CellType"	"fov"	"Slide_celltype_fov"
"T1_b_g2_Macrophage_1"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_1"	"T1_b_g2"	"Macrophage"	"T1_b_1"	"T1_b_Macrophage_T1_b_1"
"T1_b_g2_Macrophage_2"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_2"	"T1_b_g2"	"Macrophage"	"T1_b_2"	"T1_b_Macrophage_T1_b_2"
"T1_b_g2_Macrophage_3"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_3"	"T1_b_g2"	"Macrophage"	"T1_b_3"	"T1_b_Macrophage_T1_b_3"
"T1_b_g2_Macrophage_4"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_4"	"T1_b_g2"	"Macrophage"	"T1_b_4"	"T1_b_Macrophage_T1_b_4"
"T1_b_g2_Macrophage_5"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_5"	"T1_b_g2"	"Macrophage"	"T1_b_5"	"T1_b_Macrophage_T1_b_5"
"T1_b_g2_Macrophage_6"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_6"	"T1_b_g2"	"Macrophage"	"T1_b_6"	"T1_b_Macrophage_T1_b_6"
"T1_b_g2_Macrophage_7"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_7"	"T1_b_g2"	"Macrophage"	"T1_b_7"	"T1_b_Macrophage_T1_b_7"
"T1_b_g2_Macrophage_8"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_8"	"T1_b_g2"	"Macrophage"	"T1_b_8"	"T1_b_Macrophage_T1_b_8"
"T1_b_g2_Macrophage_9"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_9"	"T1_b_g2"	"Macrophage"	"T1_b_9"	"T1_b_Macrophage_T1_b_9"
"T1_b_g2_Macrophage_10"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_10"	"T1_b_g2"	"Macrophage"	"T1_b_10"	"T1_b_Macrophage_T1_b_10"
"T1_b_g2_Macrophage_11"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_11"	"T1_b_g2"	"Macrophage"	"T1_b_11"	"T1_b_Macrophage_T1_b_11"
"T1_b_g2_Macrophage_12"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_12"	"T1_b_g2"	"Macrophage"	"T1_b_12"	"T1_b_Macrophage_T1_b_12"
"T1_b_g2_Macrophage_13"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_13"	"T1_b_g2"	"Macrophage"	"T1_b_13"	"T1_b_Macrophage_T1_b_13"
